Name, EA,formula,nAT,nSK,nH,nC,nN,nO,nP,nS,nF,nCl,nBr,nB,nHet,nX,H%,C%,N%,O%,X%,MW,AMW,Mp,Mi,Si,Se,Sr,H/C,Sp,Mv,Me,IDK,HDI
Biphenyl,0.13,C12H10,22,12,10,12,0,0,0,0,0,0,0,0,0,0,0.45454545454545453,0.5454545454545454,0.0,0.0,0.0,154.21200000000002,7.009636363636364,8.212322727272728,12.323081908955453,271.10780199702,52.599999999999994,-476.0,0.8333333333333334,180.67110000000002,-21.636363636363637,2.3909090909090907,0.5,7.0
adamantan-1-ide anion,0.143,C10H15-,25,10,15,10,0,0,0,0,0,0,0,0,0,0,0.6,0.4,0.0,0.0,0.0,135.23,5.409199999999999,7.224266,12.663175959821201,316.57939899553,58.5,-650.0,1.5,180.60665,-26.0,2.34,0.5,2.5
"Naphthalene, 2-methyl-",0.143,C11H10,21,11,10,11,0,0,0,0,0,0,0,0,0,0,0.47619047619047616,0.5238095238095238,0.0,0.0,0.0,142.201,6.77147619047619,8.065290476190476,12.373691142715236,259.84751399702,50.05,-468.0,0.9090909090909091,169.3711,-22.285714285714285,2.3833333333333333,0.5,6.0
barium,0.145,Ba,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,137.327,137.327,272.0,5.2116646,5.2116646,0.89,135.0,0.0,272.0,135.0,0.89,1.0,0.0
"Naphthalene, 1-ethyl-",0.147,C12H12,24,12,12,12,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.0,0.0,156.228,6.5095,7.903555000000001,12.429361299850997,298.30467119642395,57.0,-552.0,1.0,189.68532000000002,-23.0,2.375,0.5,6.0
(Ar)2..NO anion,0.15,Ar2NO-,4,4,0,0,1,1,0,0,0,0,0,0,4,0,0.0,0.0,0.25,0.25,0.0,109.906,27.4765,8.7165,14.917852199999999,59.671408799999995,6.48,281.0,0.0,34.866,70.25,1.62,0.3333333333333333,1.0
"Acetic acid, phenylmethyl ester",0.15,C9H10O2,21,11,10,9,0,2,0,0,0,0,0,0,2,0,0.47619047619047616,0.42857142857142855,0.0,0.09523809523809523,0.0,150.177,7.151285714285714,7.493861904761905,12.598240380810477,264.56304799702,51.83,-182.0,1.1111111111111112,157.3711,-8.666666666666666,2.468095238095238,0.3333333333333333,4.0
iron,0.151,Fe,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,55.845,55.845,62.0,7.9024681,7.9024681,1.83,63.0,0.0,62.0,63.0,1.83,1.0,0.0
(Ar)5..pyrazine radical anion,0.152,C4H4Ar5N2-,15,11,4,4,2,0,0,0,0,0,0,0,7,0,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.0,0.0,279.84,18.656,8.896229333333334,13.820080659920533,207.301209898808,25.08,108.0,1.0,133.44344,7.2,1.672,0.25,4.0
cPrCH2 anion,0.156,C4H7-,11,4,7,4,0,0,0,0,0,0,0,0,0,0,0.6363636363636364,0.36363636363636365,0.0,0.0,0.0,55.099999999999994,5.009090909090909,6.977251818181818,12.748199472537635,140.230194197914,25.6,-298.0,1.75,76.74977,-27.09090909090909,2.3272727272727276,0.5,0.5
